Job Title,Salary Estimate,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Per hour,Employer Provided,min_sal,max_sal,avg_sal,Ratings,Company text,Remote,City,State,Age_Company,Size_greater_1000,Seniority
"Scientist, Analytical Development",$42K-$82K (Glassdoor est.),"Rubius Therapeutics
4.4","Cambridge, MA",201 to 500 employees,2013.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),0,0,42,42,42.0,4.4,Rubius Therapeutics,0,Cambridge,MA,9.0,0,na
Senior Data Scientist,$116K-$185K (Glassdoor est.),"Autodesk
4.0","San Francisco, CA",5001 to 10000 employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),0,0,116,116,116.0,4.0,Autodesk,0,San Francisco,CA,40.0,1,Sr
Analytics Manager,$59K-$116K (Glassdoor est.),"OneMagnify
4.3","Dearborn, MI",201 to 500 employees,1967.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,59,59,59.0,4.3,OneMagnify,0,Dearborn,MI,55.0,0,na
Data Engineer,$48K-$95K (Glassdoor est.),"IZEA
4.2","Winter Park, FL",51 to 200 employees,2006.0,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),0,0,48,48,48.0,4.2,IZEA,0,Winter Park,FL,16.0,0,na
Digital Marketing & ECommerce Data Analyst,$31K-$72K (Glassdoor est.),"Vionic Group
3.6","San Rafael, CA",51 to 200 employees,2006.0,Subsidiary or Business Segment,"Department, Clothing, & Shoe Stores",Retail,$100 to $500 million (USD),0,0,31,31,31.0,3.6,Vionic Group,0,San Rafael,CA,16.0,0,na
Sr. Scientist - Digital & Image Analysis/Computational Pathology,$105K-$198K (Glassdoor est.),"Takeda Pharmaceuticals
3.7","San Diego, CA",10000+ employees,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,105,105,105.0,3.7,Takeda Pharmaceuticals,0,San Diego,CA,241.0,1,Sr
Senior Data Analyst,$55K-$100K (Glassdoor est.),"Dodge Data & Analytics
2.8","Hamilton, NJ",201 to 500 employees,2014.0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,55,55,55.0,2.8,Dodge Data & Analytics,0,Hamilton,NJ,8.0,0,Sr
Principal Scientist - Immunologist,$98K-$182K (Glassdoor est.),"Takeda Pharmaceuticals
3.7","Boston, MA",10000+ employees,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,98,98,98.0,3.7,Takeda Pharmaceuticals,0,Boston,MA,241.0,1,Sr
Senior Data Scientist,$73K-$124K (Glassdoor est.),"Plymouth Rock Assurance
3.3","Woodbridge, NJ",1001 to 5000 employees,1982.0,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),0,0,73,73,73.0,3.3,Plymouth Rock Assurance,0,Woodbridge,NJ,40.0,0,Sr
Principal Data Scientist with over 10 years experience,Employer Provided Salary:$200K-$250K,CA-One Tech Cloud,"San Francisco, CA",51 to 200 employees,2017.0,Company - Private,IT Services,Information Technology,$5 to $10 million (USD),0,1,200,200,200.0,-1.0,CA-One Tech Cloud,0,San Francisco,CA,5.0,0,Sr
MED TECH/LAB SCIENTIST - LABORATORY,$21-$34 Per Hour(Glassdoor est.),"Beebe Healthcare
3.6","Lewes, DE",1001 to 5000 employees,1935.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),1,0,21,21,21.0,3.6,Beebe Healthcare,0,Lewes,DE,87.0,0,na
"Sr. Scientist, Quantitative Translational Sciences",$117K-$206K (Glassdoor est.),"Takeda Pharmaceuticals
3.7","Boston, MA",10000+ employees,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,117,117,117.0,3.7,Takeda Pharmaceuticals,0,Boston,MA,241.0,1,Sr
Sr. Data Scientist II,$111K-$183K (Glassdoor est.),"Argo Group US
3.4","New York, NY",1001 to 5000 employees,1948.0,Company - Public,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,0,111,111,111.0,3.4,Argo Group US,0,New York,NY,74.0,0,Sr
Excel / VBA / SQL Data Analyst,$44K-$78K (Glassdoor est.),"Associated Electric Cooperative
4.1","Springfield, MO",501 to 1000 employees,1961.0,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD),0,0,44,44,44.0,4.1,Associated Electric Cooperative,0,Springfield,MO,61.0,1,na
Machine Learning Research Scientist,$81K-$159K (Glassdoor est.),"Software Engineering Institute
2.6","Pittsburgh, PA",501 to 1000 employees,1984.0,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,0,81,81,81.0,2.6,Software Engineering Institute,0,Pittsburgh,PA,38.0,1,na
"VP, Data Science",$83K-$166K (Glassdoor est.),"PennyMac
3.2","Phoenix, AZ",1001 to 5000 employees,2008.0,Company - Public,Lending,Finance,$500 million to $1 billion (USD),0,0,83,83,83.0,3.2,PennyMac,0,Phoenix,AZ,14.0,0,na
Senior Data Scientist,$114K-$182K (Glassdoor est.),"Zest AI
3.9","Burbank, CA",51 to 200 employees,2009.0,Company - Private,Financial Analytics & Research,Finance,$50 to $100 million (USD),0,0,114,114,114.0,3.9,Zest AI,0,Burbank,CA,13.0,0,Sr
Radar Data Analyst,$42K-$76K (Glassdoor est.),"DECISIVE ANALYTICS Corporation
4.7","Huntsville, AL",51 to 200 employees,1996.0,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $50 million (USD),0,0,42,42,42.0,4.7,DECISIVE ANALYTICS Corporation,0,Huntsville,AL,26.0,0,na
PL Actuarial-Lead Data Scientist,$114K-$179K (Glassdoor est.),"The Hanover Insurance Group
3.7","Worcester, MA",5001 to 10000 employees,1852.0,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),0,0,114,114,114.0,3.7,The Hanover Insurance Group,0,Worcester,MA,170.0,1,Sr
PV Scientist,$60K-$123K (Glassdoor est.),"Karyopharm Therapeutics Inc.
2.9","Newton, MA",201 to 500 employees,-1.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,60,60,60.0,2.9,Karyopharm Therapeutics Inc.,0,Newton,MA,-1.0,0,na
Senior Data & Machine Learning Scientist,$100K-$166K (Glassdoor est.),"Tempus Labs
3.0","Chicago, IL",501 to 1000 employees,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,0,0,100,100,100.0,3.0,Tempus Labs,0,Chicago,IL,7.0,1,Sr
Principal Data Scientist (Computational Chemistry),$108K-$173K (Glassdoor est.),"Recursion Pharmaceuticals
4.7","Salt Lake City, UT",51 to 200 employees,2013.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),0,0,108,108,108.0,4.7,Recursion Pharmaceuticals,0,Salt Lake City,UT,9.0,0,Sr
Data Engineer,$48K-$93K (Glassdoor est.),"P2 Energy Solutions
3.7","Lafayette, LA",501 to 1000 employees,-1.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,48,48,48.0,3.7,P2 Energy Solutions,0,Lafayette,LA,-1.0,1,na
"Principal Scientist, Chemistry & Immunology",$54K-$115K (Glassdoor est.),"Rochester Regional Health
3.3","Rochester, NY",10000+ employees,2014.0,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,0,54,54,54.0,3.3,Rochester Regional Health,0,Rochester,NY,8.0,1,Sr
Software Engineer - Data Visualization,$60K-$127K (Glassdoor est.),"ClearEdge
4.0","Annapolis Junction, MD",51 to 200 employees,2002.0,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),0,0,60,60,60.0,4.0,ClearEdge,0,Annapolis Junction,MD,20.0,0,na
"Scientist/Senior Scientist, Autoimmune",$90K-$179K (Glassdoor est.),"Rubius Therapeutics
4.4","Cambridge, MA",201 to 500 employees,2013.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),0,0,90,90,90.0,4.4,Rubius Therapeutics,0,Cambridge,MA,9.0,0,Sr
Staff Machine Learning Engineer,$138K-$224K (Glassdoor est.),"Tapjoy
3.9","San Francisco, CA",201 to 500 employees,2007.0,Company - Private,Internet,Information Technology,$10 to $25 million (USD),0,0,138,138,138.0,3.9,Tapjoy,0,San Francisco,CA,15.0,0,na
"Principal Scientist, Hematology",$54K-$115K (Glassdoor est.),"Rochester Regional Health
3.3","Rochester, NY",10000+ employees,2014.0,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,0,54,54,54.0,3.3,Rochester Regional Health,0,Rochester,NY,8.0,1,Sr
Lead Data Engineer,$190K-$220K(Employer est.),"Credit Sesame
4.1","Mountain View, CA",51 to 200 employees,2010.0,Company - Private,Internet,Information Technology,$50 to $100 million (USD),0,0,190,190,190.0,4.1,Credit Sesame,0,Mountain View,CA,12.0,0,Sr
Marketing Data Analyst,$35K-$62K (Glassdoor est.),"San Manuel Casino
3.6","Highland, CA",1001 to 5000 employees,1986.0,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),0,0,35,35,35.0,3.6,San Manuel Casino,0,Highland,CA,36.0,0,na
Medical Laboratory Scientist,$18-$25 Per Hour(Glassdoor est.),"Texas Health Huguley Hospital
4.0","Burleson, TX",1001 to 5000 employees,1977.0,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),1,0,18,18,18.0,4.0,Texas Health Huguley Hospital,0,Burleson,TX,45.0,0,na
R&D Specialist/ Food Scientist,$39K-$66K (Glassdoor est.),"Teasdale Latin Foods
2.4","Hoopeston, IL",501 to 1000 employees,-1.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),0,0,39,39,39.0,2.4,Teasdale Latin Foods,0,Hoopeston,IL,-1.0,1,na
Senior Research Scientist-Machine Learning,$81K-$167K (Glassdoor est.),"Software Engineering Institute
2.6","Pittsburgh, PA",501 to 1000 employees,1984.0,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,0,81,81,81.0,2.6,Software Engineering Institute,0,Pittsburgh,PA,38.0,1,Sr
Analytics Manager - Data Mart,$42K-$86K (Glassdoor est.),"Central California Alliance for Health
3.5","Scotts Valley, CA",501 to 1000 employees,1996.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),0,0,42,42,42.0,3.5,Central California Alliance for Health,0,Scotts Valley,CA,26.0,1,na
Sr. Data Engineer - Contract-to-Hire (Java),$69K-$127K (Glassdoor est.),"Pilot Flying J Travel Centers LLC
3.0","Knoxville, TN",10000+ employees,1958.0,Company - Private,Gas Stations,Retail,$10+ billion (USD),0,0,69,69,69.0,3.0,Pilot Flying J Travel Centers LLC,0,Knoxville,TN,64.0,1,Sr
MED TECH/LAB SCIENTIST- SOUTH COASTAL LAB,$21-$34 Per Hour(Glassdoor est.),"Beebe Healthcare
3.6","Millville, DE",1001 to 5000 employees,1935.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),1,0,21,21,21.0,3.6,Beebe Healthcare,0,Millville,DE,87.0,0,na
Food Scientist - Developer,$40K-$68K (Glassdoor est.),"Palermo's Pizza
3.3","Milwaukee, WI",501 to 1000 employees,1964.0,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable,0,0,40,40,40.0,3.3,Palermo's Pizza,0,Milwaukee,WI,58.0,1,na
Staff Scientist-Downstream Process Development,$49K-$113K (Glassdoor est.),"Advanced BioScience Laboratories
2.7","Rockville, MD",201 to 500 employees,1961.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),0,0,49,49,49.0,2.7,Advanced BioScience Laboratories,0,Rockville,MD,61.0,0,na
Sr. Data Engineer,$75K-$140K (Glassdoor est.),"Echo Global Logistics
3.4","Chicago, IL",1001 to 5000 employees,2005.0,Company - Public,Transportation Management,Transportation & Logistics,$2 to $5 billion (USD),0,0,75,75,75.0,3.4,Echo Global Logistics,0,Chicago,IL,17.0,0,Sr
Data Scientist - Quantitative,$86K-$139K (Glassdoor est.),"Truckstop.com
3.8","Chicago, IL",501 to 1000 employees,1995.0,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,0,0,86,86,86.0,3.8,Truckstop.com,0,Chicago,IL,27.0,1,na
Data Scientist,$66K-$112K (Glassdoor est.),"Lockheed Martin
3.7","Herndon, VA",10000+ employees,1995.0,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,0,66,66,66.0,3.7,Lockheed Martin,0,Herndon,VA,27.0,1,na
Senior Research Statistician- Data Scientist,$76K-$125K (Glassdoor est.),"Acuity Insurance
4.8","Sheboygan, WI",1001 to 5000 employees,1925.0,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD),0,0,76,76,76.0,4.8,Acuity Insurance,0,Sheboygan,WI,97.0,0,Sr
"Business Data Analyst, SQL",$44K-$86K (Glassdoor est.),"Fareportal
3.8","New York, NY",1001 to 5000 employees,2002.0,Company - Private,Travel Agencies,Travel & Tourism,$2 to $5 billion (USD),0,0,44,44,44.0,3.8,Fareportal,0,New York,NY,20.0,0,na
Medical Technologist / Clinical Laboratory Scientist,$15-$25 Per Hour(Glassdoor est.),"Veterans Affairs, Veterans Health Administration
3.4","New Orleans, LA",10000+ employees,1930.0,Government,Federal Agencies,Government,Unknown / Non-Applicable,1,0,15,15,15.0,3.4,"Veterans Affairs, Veterans Health Administration",0,New Orleans,LA,92.0,1,na
Data Scientist,$53K-$92K (Glassdoor est.),"Credera
4.3","Dallas, TX",201 to 500 employees,1999.0,Subsidiary or Business Segment,Consulting,Business Services,Unknown / Non-Applicable,0,0,53,53,53.0,4.3,Credera,0,Dallas,TX,23.0,0,na
Senior Data Analyst,$44K-$78K (Glassdoor est.),"KnowBe4
4.8","Clearwater, FL",501 to 1000 employees,2010.0,Company - Private,Security Services,Business Services,$100 to $500 million (USD),0,0,44,44,44.0,4.8,KnowBe4,0,Clearwater,FL,12.0,1,Sr
BI & Platform Analytics Manager,$85K-$134K (Glassdoor est.),"Church & Dwight
3.4","Ewing, NJ",1001 to 5000 employees,1846.0,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),0,0,85,85,85.0,3.4,Church & Dwight,0,Ewing,NJ,176.0,0,na
Data Engineer,$59K-$110K (Glassdoor est.),"Cogo Labs
3.9","Cambridge, MA",51 to 200 employees,2005.0,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,0,0,59,59,59.0,3.9,Cogo Labs,0,Cambridge,MA,17.0,0,na
Data Scientist,$64K-$111K (Glassdoor est.),"Spectrum Communications and Consulting
3.4","Chicago, IL",51 to 200 employees,1992.0,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),0,0,64,64,64.0,3.4,Spectrum Communications and Consulting,0,Chicago,IL,30.0,0,na
Data Analyst,$65K-$120K (Glassdoor est.),"NCSOFT
3.1","San Mateo, CA",1001 to 5000 employees,1997.0,Company - Public,Video Games,Media,$10+ billion (USD),0,0,65,65,65.0,3.1,NCSOFT,0,San Mateo,CA,25.0,0,na
Associate Data Scientist/Computer Scientist,$60K-$103K (Glassdoor est.),"MITRE
3.2","McLean, VA",5001 to 10000 employees,1958.0,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),0,0,60,60,60.0,3.2,MITRE,0,McLean,VA,64.0,1,na
Business Intelligence Analyst / Developer,$53K-$105K (Glassdoor est.),"Dayton Freight Lines, Inc.
4.3","Dayton, OH",1001 to 5000 employees,1981.0,Company - Private,Trucking,Transportation & Logistics,Unknown / Non-Applicable,0,0,53,53,53.0,4.3,"Dayton Freight Lines, Inc.",0,Dayton,OH,41.0,0,na
Lead Data Scientist,$124K-$204K (Glassdoor est.),"MassMutual
3.6","Boston, MA",5001 to 10000 employees,1851.0,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),0,0,124,124,124.0,3.6,MassMutual,0,Boston,MA,171.0,1,Sr
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)",$131K-$207K (Glassdoor est.),"Genentech
3.9","South San Francisco, CA",10000+ employees,1976.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,131,131,131.0,3.9,Genentech,0,South San Francisco,CA,46.0,1,Sr
Senior Data Scientist,$110K-$174K (Glassdoor est.),"Juniper Networks
3.8","Cupertino, CA",5001 to 10000 employees,1996.0,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),0,0,110,110,110.0,3.8,Juniper Networks,0,Cupertino,CA,26.0,1,Sr
Data Analyst,$33K-$62K (Glassdoor est.),"Community Action Partnership of San Luis Obispo
2.8","Parlier, CA",501 to 1000 employees,-1.0,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD),0,0,33,33,33.0,2.8,Community Action Partnership of San Luis Obispo,0,Parlier,CA,-1.0,1,na
Pricipal Scientist Molecular and cellular biologist,$52K-$101K (Glassdoor est.),"Takeda Pharmaceuticals
3.7","Boston, MA",10000+ employees,1781.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,52,52,52.0,3.7,Takeda Pharmaceuticals,0,Boston,MA,241.0,1,na
Data Analyst,$48K-$90K (Glassdoor est.),"TrueAccord
3.4","San Francisco, CA",51 to 200 employees,2013.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,48,48,48.0,3.4,TrueAccord,0,San Francisco,CA,9.0,0,na
Data Analyst,$34K-$64K (Glassdoor est.),"DRB Systems
4.0","Meridian, ID",201 to 500 employees,1984.0,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),0,0,34,34,34.0,4.0,DRB Systems,0,Meridian,ID,38.0,0,na
Staff Data Scientist,$132K-$211K (Glassdoor est.),"Western Digital
3.5","San Jose, CA",10000+ employees,1970.0,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),0,0,132,132,132.0,3.5,Western Digital,0,San Jose,CA,52.0,1,na
"Data Scientist (Actuary, FSA or ASA)",$81K-$133K (Glassdoor est.),"Legal & General America
3.8","Frederick, MD",501 to 1000 employees,1981.0,Company - Private,Insurance Carriers,Insurance,$500 million to $1 billion (USD),0,0,81,81,81.0,3.8,Legal & General America,0,Frederick,MD,41.0,1,na
System and Data Analyst,$42K-$76K (Glassdoor est.),"Corcentric
3.7","Cherry Hill, NJ",201 to 500 employees,1996.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,42,42,42.0,3.7,Corcentric,0,Cherry Hill,NJ,26.0,0,na
Data Scientist,$66K-$111K (Glassdoor est.),"U.Group
3.5","Indianapolis, IN",201 to 500 employees,2019.0,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),0,0,66,66,66.0,3.5,U.Group,0,Indianapolis,IN,3.0,0,na
Data Engineer 5 - Contract (Remote),$74K-$140K (Glassdoor est.),"The Church of Jesus Christ of Latter-day Saints
4.2","Riverton, UT",10000+ employees,-1.0,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,0,0,74,74,74.0,4.2,The Church of Jesus Christ of Latter-day Saints,0,Riverton,UT,-1.0,1,na
Digital Health Data Scientist,$63K-$110K (Glassdoor est.),"Pfizer
4.0","Cambridge, MA",10000+ employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,63,63,63.0,4.0,Pfizer,0,Cambridge,MA,173.0,1,na
Data Scientist,$63K-$105K (Glassdoor est.),"SMC 3
4.3","Louisville, KY",51 to 200 employees,1935.0,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),0,0,63,63,63.0,4.3,SMC 3,0,Louisville,KY,87.0,0,na
Data & Analytics Consultant (NYC),$91K-$138K (Glassdoor est.),"Systems Evolution Inc.
4.7","New York, NY",201 to 500 employees,1992.0,Company - Private,Consulting,Business Services,$50 to $100 million (USD),0,0,91,91,91.0,4.7,Systems Evolution Inc.,0,New York,NY,30.0,0,na
Senior Scientist - Neuroscience,$100K-$190K (Glassdoor est.),"Sunovion
3.5","Marlborough, MA",1001 to 5000 employees,2010.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),0,0,100,100,100.0,3.5,Sunovion,0,Marlborough,MA,12.0,0,Sr
Data Engineer,$62K-$114K (Glassdoor est.),"Eventbrite
4.4","Nashville, TN",1001 to 5000 employees,2006.0,Company - Public,Internet,Information Technology,$100 to $500 million (USD),0,0,62,62,62.0,4.4,Eventbrite,0,Nashville,TN,16.0,0,na
Big Data Engineer - Chicago - Future Opportunity,$71K-$129K (Glassdoor est.),"Centro
4.1","Chicago, IL",501 to 1000 employees,2001.0,Company - Private,Internet,Information Technology,$100 to $500 million (USD),0,0,71,71,71.0,4.1,Centro,0,Chicago,IL,21.0,1,na
Senior Data Analyst,$43K-$80K (Glassdoor est.),"National Student Clearinghouse
2.9","Herndon, VA",201 to 500 employees,1993.0,Nonprofit Organization,Colleges & Universities,Education,$25 to $50 million (USD),0,0,43,43,43.0,2.9,National Student Clearinghouse,0,Herndon,VA,29.0,0,Sr
Data Scientist,$74K-$119K (Glassdoor est.),"comScore
2.5","Portland, OR",1001 to 5000 employees,1999.0,Company - Public,Advertising & Marketing,Business Services,$1 to $2 billion (USD),0,0,74,74,74.0,2.5,comScore,0,Portland,OR,23.0,0,na
Survey Data Analyst,$55K-$97K (Glassdoor est.),"SullivanCotter
4.2","Minneapolis, MN",201 to 500 employees,1992.0,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,0,0,55,55,55.0,4.2,SullivanCotter,0,Minneapolis,MN,30.0,0,na
Data Scientist,$15K-$16K(Employer est.),"NPD
3.9","Port Washington, NY",1001 to 5000 employees,1966.0,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),0,0,15,15,15.0,3.9,NPD,0,Port Washington,NY,56.0,0,na
Data Scientist,$61K-$106K (Glassdoor est.),"Bakery Agency
4.3","Austin, TX",1 to 50 employees,2010.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,61,61,61.0,4.3,Bakery Agency,0,Austin,TX,12.0,0,na
"Risk and Analytics IT, Data Scientist",$91K-$149K (Glassdoor est.),"State of Wisconsin Investment Board
2.7","Madison, WI",51 to 200 employees,1951.0,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),0,0,91,91,91.0,2.7,State of Wisconsin Investment Board,0,Madison,WI,71.0,0,na
Data Scientist,$127K-$199K (Glassdoor est.),"Genentech
3.9","South San Francisco, CA",10000+ employees,1976.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,127,127,127.0,3.9,Genentech,0,South San Francisco,CA,46.0,1,na
Lead Health Data Analyst - Front End,$74K-$126K (Glassdoor est.),"Blue Cross & Blue Shield of Rhode Island
3.4","Providence, RI",501 to 1000 employees,1939.0,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,0,74,74,74.0,3.4,Blue Cross & Blue Shield of Rhode Island,0,Providence,RI,83.0,1,Sr
Research Scientist,$33K-$72K (Glassdoor est.),"Boys Town
3.8","Omaha, NE",1001 to 5000 employees,1917.0,Nonprofit Organization,Social Assistance,Non-Profit,Unknown / Non-Applicable,0,0,33,33,33.0,3.8,Boys Town,0,Omaha,NE,105.0,0,na
Medical Lab Scientist,$17-$24 Per Hour(Glassdoor est.),"Tower Health
3.6","West Reading, PA",5001 to 10000 employees,2017.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,1,0,17,17,17.0,3.6,Tower Health,0,West Reading,PA,5.0,1,na
Junior Data Analyst,$37K-$63K (Glassdoor est.),"The HSC Health Care System
3.3","Washington, DC",501 to 1000 employees,1883.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,0,0,37,37,37.0,3.3,The HSC Health Care System,0,Washington,DC,139.0,1,Jr
SQL Data Engineer,$67K-$119K (Glassdoor est.),"Pro-Sphere Tek
3.4","Austin, TX",201 to 500 employees,2006.0,Company - Private,Consulting,Business Services,$50 to $100 million (USD),0,0,67,67,67.0,3.4,Pro-Sphere Tek,0,Austin,TX,16.0,0,na
Data Scientist,$72K-$117K (Glassdoor est.),"Ameritas Life Insurance Corp
3.0","Cincinnati, OH",1001 to 5000 employees,1887.0,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),0,0,72,72,72.0,3.0,Ameritas Life Insurance Corp,0,Cincinnati,OH,135.0,0,na
Senior Data Scientist,$116K-$185K (Glassdoor est.),"Autodesk
4.0","San Francisco, CA",5001 to 10000 employees,1982.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),0,0,116,116,116.0,4.0,Autodesk,0,San Francisco,CA,40.0,1,Sr
Data Scientist,$78K-$126K (Glassdoor est.),"Genworth
3.7","Raleigh, NC",1001 to 5000 employees,2004.0,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),0,0,78,78,78.0,3.7,Genworth,0,Raleigh,NC,18.0,0,na
"Scientist, Analytical Development",$42K-$82K (Glassdoor est.),"Rubius Therapeutics
4.4","Cambridge, MA",201 to 500 employees,2013.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),0,0,42,42,42.0,4.4,Rubius Therapeutics,0,Cambridge,MA,9.0,0,na
Analytics Manager,$59K-$116K (Glassdoor est.),"OneMagnify
4.3","Dearborn, MI",201 to 500 employees,1967.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,0,0,59,59,59.0,4.3,OneMagnify,0,Dearborn,MI,55.0,0,na
Clinical Data Scientist,$63K-$105K (Glassdoor est.),"Pfizer
4.0","Groton, CT",10000+ employees,1849.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),0,0,63,63,63.0,4.0,Pfizer,0,Groton,CT,173.0,1,na
Data Scientist,$109K-$177K (Glassdoor est.),"Novetta
4.0","Herndon, VA",501 to 1000 employees,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,0,109,109,109.0,4.0,Novetta,0,Herndon,VA,10.0,1,na
"Sr. Data Scientist, Cyber-Security LT Contract",$116K-$194K (Glassdoor est.),"Numeric, LLC
3.2","Phila, PA",1 to 50 employees,-1.0,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),0,0,116,116,116.0,3.2,"Numeric, LLC",0,Phila,PA,-1.0,0,Sr
Data Engineer,$48K-$95K (Glassdoor est.),"IZEA
4.2","Winter Park, FL",51 to 200 employees,2006.0,Company - Public,Advertising & Marketing,Business Services,$25 to $50 million (USD),0,0,48,48,48.0,4.2,IZEA,0,Winter Park,FL,16.0,0,na
Data Scientist,$83K-$133K (Glassdoor est.),"Trace Data
3.9","Oakland, CA",51 to 200 employees,2000.0,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),0,0,83,83,83.0,3.9,Trace Data,0,Oakland,CA,22.0,0,na
